Date,Volume,Close
2017-01-03,819500.0,2.96
2017-01-04,439000.0,2.98
2017-01-05,772500.0,3.01
2017-01-06,893700.0,3.03
2017-01-09,1096900.0,3.03
2017-01-10,2273200.0,3.06
2017-01-11,1051500.0,3.06
2017-01-12,1231700.0,3.06
2017-01-13,614200.0,3.09
2017-01-16,541700.0,3.07
2017-01-17,218800.0,3.06
2017-01-18,881800.0,3.06
2017-01-19,177900.0,3.07
2017-01-20,373800.0,3.08
2017-01-23,665500.0,3.08
2017-01-24,580900.0,3.09
2017-01-25,548900.0,3.1
2017-01-26,672400.0,3.12
2017-01-27,447800.0,3.12
2017-01-31,791000.0,3.11
2017-02-01,577400.0,3.13
2017-02-02,370400.0,3.05
2017-02-03,639900.0,3.05
2017-02-06,592200.0,3.06
2017-02-07,209700.0,3.08
2017-02-08,166300.0,3.08
2017-02-09,97400.0,3.08
2017-02-10,530400.0,3.12
2017-02-13,395900.0,3.12
2017-02-14,1070400.0,3.08
2017-02-15,339800.0,3.1
2017-02-16,286100.0,3.1
2017-02-17,537400.0,3.12
2017-02-20,396700.0,3.11
2017-02-21,152300.0,3.11
2017-02-22,891600.0,3.14
2017-02-23,494500.0,3.14
2017-02-24,1077400.0,3.13
2017-02-27,514400.0,3.12
2017-02-28,131900.0,3.1
2017-03-01,341900.0,3.13
2017-03-02,18136700.0,3.14
2017-03-03,241000.0,3.12
2017-03-06,364700.0,3.13
2017-03-07,100100.0,3.14
2017-03-08,637500.0,3.15
2017-03-09,158000.0,3.13
2017-03-10,1148000.0,3.13
2017-03-13,303900.0,3.16
2017-03-14,416900.0,3.15
2017-03-15,1146300.0,3.15
2017-03-16,873800.0,3.18
2017-03-17,809800.0,3.19
2017-03-20,696100.0,3.17
2017-03-21,185200.0,3.18
2017-03-22,1378100.0,3.12
2017-03-23,346500.0,3.14
2017-03-24,628300.0,3.16
2017-03-27,446800.0,3.14
2017-03-28,84800.0,3.16
2017-03-29,568800.0,3.2
2017-03-30,524700.0,3.19
2017-03-31,210100.0,3.19
2017-04-03,100900.0,3.2
2017-04-04,187900.0,3.19
2017-04-05,512300.0,3.19
2017-04-06,384600.0,3.18
2017-04-07,197700.0,3.18
2017-04-10,238300.0,3.2
2017-04-11,439000.0,3.19
2017-04-12,752100.0,3.2
2017-04-13,347800.0,3.17
2017-04-17,146800.0,3.16
2017-04-18,806800.0,3.16
2017-04-19,302700.0,3.14
2017-04-20,353500.0,3.15
2017-04-21,122700.0,3.16
2017-04-24,500100.0,3.15
2017-04-25,384800.0,3.18
2017-04-26,891800.0,3.19
2017-04-27,738000.0,3.19
2017-04-28,146500.0,3.2
2018-01-02,129700.0,3.48
2018-01-03,311800.0,3.52
2018-01-04,295800.0,3.54
2018-01-05,189900.0,3.54
2018-01-08,356200.0,3.56
2018-01-09,329100.0,3.57
2018-01-10,218200.0,3.57
2018-01-11,117000.0,3.57
2018-01-12,264700.0,3.57
2018-01-15,252700.0,3.58
2018-01-16,607100.0,3.6
2018-01-17,133400.0,3.59
2018-01-18,505100.0,3.58
2018-01-19,196000.0,3.6
